rank,edge_id,road_name,length_m,traffic_volume,mean_speed_kmh,waiting_per_sampled_s,timeLoss_per_sampled_s,mean_queue_length_m,max_queue_length_m,hotspot_score
126,742646000,Jalan Sultan Ahmad Shah,65.81,255,48.088,0.0,0.521,0.0,0.0,72.198
127,978294682#3,Lebuh Light,15.83,182,38.963,0.0,0.379,0.0,0.0,72.126
128,579074812,Pengkalan Weld,42.24,630,57.367,0.0,0.423,0.0,0.0,71.655
129,162360688#0,Jalan Penang,37.04,547,50.686,0.0,0.393,0.0,0.0,71.618
130,994109119,Jalan Penang,14.51,563,57.102,0.0,0.411,0.0,0.0,71.341
131,160439693#0,Lebuh Pantai,65.12,550,50.183,0.0,0.365,0.0,0.0,71.292
132,978294684#0,Jalan Sultan Ahmad Shah,22.91,482,56.537,0.0,0.427,0.0,0.0,71.159
133,160440787#0,Gat Lebuh Acheh,88.29,250,34.538,0.0,0.255,0.0,0.0,71.039
134,-E2,(unnamed),236.34,414,38.152,0.0,0.22,0.0,0.0,70.857
135,-761361241,Lebuh Muntri,22.47,39,31.851,0.0,0.367,0.0,0.0,70.809
136,-761361235,Jalan Penang,53.93,60,44.938,0.0,0.543,0.0,0.0,70.785
137,572827187,Lebuhraya Merdeka,0.2,28,19.369,0.0,0.276,0.0,0.0,70.725
138,757095587,(unnamed),71.89,28,29.325,0.0,0.353,0.0,0.0,70.725
139,978296550#2,Lebuh Farquhar,37.5,550,58.382,0.0,0.399,0.0,0.0,70.507
140,179564507#1,Gat Lebuh Presgrave,152.9,32,33.679,0.14,0.317,0.167,5.1,70.495
141,232874892#1,Jalan Penang,52.63,314,56.193,0.0,0.432,0.0,0.0,70.447
142,758465522#2,Jalan C.Y. Choy,88.3,271,47.798,0.0,0.402,0.0,0.0,70.35
143,747362366#1,Lebuh Chulia,54.09,160,45.682,0.0,0.444,0.0,0.0,70.229
144,978918596#0,(unnamed),30.38,92,34.008,0.0,0.307,0.0,0.0,69.843
145,1383711615#0,Gat Lebuh Chulia,47.33,43,41.907,0.0,0.45,0.0,0.0,69.831
146,41593077#1-AddedOnRampEdge,Jalan Doktor Lim Chwee Leong,100.13,729,61.108,0.0,0.383,0.0,0.0,69.662
147,264409108#0,Jalan Kuala Kangsar,31.09,244,37.431,0.0,0.246,0.0,0.0,69.638
